,Centre,Addresse,Quartier,Lat,Lon,NOM
43,Parc agricole du Bois-de-la-Roche,"Ch Senneville, Sainte-Anne-de-Bellevue, QC H9X 4A9",Senneville,45.44133,-73.93818,Senneville
44,Refuge d'oiseaux de Senneville,"Senneville, QC H9X 3Y1",Senneville,45.43199,-73.95316,Senneville
45,Maison des employés,"297 Ch Senneville, Senneville, QC H9X 3X7",Senneville,45.44589,-73.94960,Senneville
46,Parc Westmount,"327 Av. Melville #329, Westmount, Quebec H3Z 2J7",Westmount,45.48088,-73.59869,Westmount
47,Parc King George,"68 Croissant Belmont, Westmount, Quebec H3Y 1Y4",Westmount,45.48477,-73.60453,Westmount
48,Îlot NDG-Claremont,"Claremont / Westmount, Westmount, Quebec H3Y",Westmount,45.48017,-73.61152,Westmount
49,Parc Prince-Albert,"Westmount, QC H3Y 2M4",Westmount,45.47869,-73.60693,Westmount
50,Parc Somerville,"Av. Somerville, Westmount, QC H3Z 1J4",Westmount,45.47688,-73.60368,Westmount
51,Parc York-Sainte-Catherine,"Rue Sainte-Catherine, Westmount, QC H3Z 1N9",Westmount,45.47578,-73.60065,Westmount
52,Parc Glen-Sainte-Catherine,"Chem. Glen, Westmount, QC H3Z 1T1",Westmount,45.47742,-73.59755,Westmount
53,Parc Landsdowne-Sainte-Catherine,"Av. Lansdowne, Westmount, QC H3Z 1S4",Westmount,45.47912,-73.59690,Westmount
54,Parc Canin du Terrain d'athlétisme de Westmount,"50 Av. Hillside, Westmount, QC H3Z 1V9",Westmount,45.48256,-73.58840,Westmount
55,Parc Bruce,"Av. Bruce, Westmount, QC H3Z 2E1",Westmount,45.48362,-73.58675,Westmount
56,Parc Dorchester-Clarke,"Rue Sainte-Catherine, Westmount, QC H3Z 1R1",Westmount,45.48424,-73.58883,Westmount
57,Parc Stayner,"Rue Stayner, Westmount, QC H3Z 1W5",Westmount,45.48552,-73.58513,Westmount
58,Parc Prospect,"Rue Prospect, Westmount, QC H3Z 1Y9",Westmount,45.48557,-73.58375,Westmount
59,Parc Selby,"1028 Ave Greene, Westmount, Quebec H3Z 1Y8",Westmount,45.48415,-73.58371,Westmount
