,Centre,Addresse,Quartier,Lat,Lon,NOM
486,Pataugeoire du parc Saint-Jean-Baptiste,"1048, boulevard Saint-Jean-Baptiste, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.641424,-73.5000897,Rivière-des-Prairies-Pointe-aux-Trembles
487,Pataugeoire du parc Saint-Laurent,"11614, avenue Salk, Montréal",Montréal-Nord,45.6064452,-73.6290272,Montréal-Nord
488,Pataugeoire du parc Saint-Laurent - Arr. Saint-Laurent,"rue Poirier, Montréal",Saint-Laurent,45.5187344,-73.6983366,Saint-Laurent
489,Pataugeoire du parc Saint-Paul-de-la-Croix,"9900, avenue Hamel, Montréal",Ahuntsic-Cartierville,45.5639852,-73.6614168,Ahuntsic-Cartierville
490,Pataugeoire du parc Saint-Victor,"9175, rue Hochelaga, Montréal",Mercier–Hochelaga-Maisonneuve,45.6071275,-73.5169242,Mercier-Hochelaga-Maisonneuve
491,Pataugeoire du parc Sainte-Lucie,"9093, Montréal",Villeray–Saint-Michel–Parc-Extension,-2.8994929,-78.9722758,
492,Pataugeoire du parc Sainte-Yvette,"8950 - 10e avenue, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5697428,-73.6252584,Villeray-Saint-Michel-Parc-Extension
493,Pataugeoire du parc Sauvé,"11440, avenue Éthier, Montréal",Montréal-Nord,45.5997791,-73.6354184,Montréal-Nord
494,Pataugeoire du parc Sir-Wilfrid-Laurier,"5200, rue De Brébeuf, Montréal",Le Plateau-Mont-Royal,45.5340896,-73.5886123,Le Plateau-Mont-Royal
495,Pataugeoire du parc Tardif,"6455, rue Tardif, Montréal",Montréal-Nord,45.61777,-73.6158266,Montréal-Nord
496,Pataugeoire du parc Tassé,"Rue Billeron, Montréal",Saint-Laurent,45.5086214,-73.693823,Saint-Laurent
497,Pataugeoire du parc Trenholme,"6800, rue Sherbrooke Ouest, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4615438,-73.6328837,Côte-des-Neiges-Notre-Dame-de-Grâce
498,Pataugeoire Maisonneuve du parc Francine-Léger,"4350, rue de Rouen, Montréal",Mercier–Hochelaga-Maisonneuve,45.5537445,-73.5431697,Mercier-Hochelaga-Maisonneuve
499,Pataugeoire Paul-Émile Sauvageau du parc L.-O.-Taillon,"9200, rue Notre-Dame Est, Montréal",Mercier–Hochelaga-Maisonneuve,45.60581570678325,-73.51212723975443,Mercier-Hochelaga-Maisonneuve
500,Pataugeoire Saint-Gabriel du Carré d'Hibernia,"2333, rue Mullins, Montréal",Le Sud-Ouest,45.4788706535412,-73.56401847962488,Le Sud-Ouest
501,Pataugeoires du parc La Fontaine,"3819, avenue Calixa-Lavallée, Montréal",Le Plateau-Mont-Royal,45.5270684,-73.5693956,Le Plateau-Mont-Royal
502,Patinoire Bernard Est,"77, rue Bernard Est, Montréal",Le Plateau-Mont-Royal,45.5282973,-73.60095580676591,Le Plateau-Mont-Royal
503,Patinoire Bleu Blanc Bouge de CDN-NDG,"6262, avenue Fielding, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.47233625,-73.63944554731941,Côte-des-Neiges-Notre-Dame-de-Grâce
504,Patinoire Bleu Blanc Bouge du parc François-Perrault,"7525, rue François-Perrault, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5624595,-73.60057385,Villeray-Saint-Michel-Parc-Extension
505,Patinoire Bleu Blanc Bouge du parc Le Carignan,"11481, avenue P.-M.-Favier, Montréal",Montréal-Nord,45.6093388,-73.6157397,Montréal-Nord
506,Patinoire Bleu Blanc Bouge du parc Willibrord,"1018, rue Willibrord, Montréal",Verdun,45.4596322,-73.5760723,Verdun
507,Patinoire De Gaspé,"Avenue De Gaspé, Montréal",Le Plateau-Mont-Royal,45.5389214,-73.624089,Villeray-Saint-Michel-Parc-Extension
508,Patinoire de l'école polyvalente Pierrefonds,"13800 Boul de Pierrefonds, Montréal",Pierrefonds-Roxboro,45.4924073,-73.8465299,Pierrefonds-Roxboro
509,Patinoire de la Maison du citoyen,"boulevard Saint-Jean-Baptiste, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6478822,-73.5273825,Rivière-des-Prairies-Pointe-aux-Trembles
510,"Patinoire derrière le 3051, boul. Saint-Joseph","3051, boulevard Saint-Joseph, Montréal",Lachine,45.4334992030303,-73.6914704030303,Lachine
511,Patinoire du Glacis,"Rue du Glacis, Montréal",Ville-Marie,45.5138938,-73.5505655,Ville-Marie
512,Patinoire du parc Armand-Bombardier,"Boulevard Perras, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6295693,-73.6119172,Rivière-des-Prairies-Pointe-aux-Trembles
513,Patinoire du parc Beaubien,"6633, 6e Avenue, Montréal",Rosemont–La Petite-Patrie,45.5534327,-73.5922784,Rosemont-La Petite-Patrie
514,Patinoire du parc Beauclerk,"1855, avenue Émile-Legrand, Montréal",Mercier–Hochelaga-Maisonneuve,45.5811828,-73.5217204,Mercier-Hochelaga-Maisonneuve
515,Patinoire du parc Beurling,"6001, rue Beurling, Montréal",Verdun,45.4480795,-73.5838389,Verdun
516,Patinoire du parc Camille,"9350, boulevard Gouin Ouest, Montréal",Ahuntsic-Cartierville,45.4740743,-73.8744496,L'Île-Bizard-Sainte-Geneviève
517,Patinoire du parc Carignan,"4100, rue Provost, Montréal",Lachine,45.4420053,-73.7010692,Lachine
518,Patinoire du parc Champdoré,"2400, rue Champdoré, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5757428,-73.6314602,Villeray-Saint-Michel-Parc-Extension
519,Patinoire du parc Charleroi,"10985, avenue Alfred, Montréal",Montréal-Nord,45.59943488333334,-73.62350405,Montréal-Nord
520,Patinoire du parc Clémentine-De La Rousselière,"14080, rue Notre-Dame Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
521,Patinoire du parc Cousineau,"1740 Avenue O'Brien, Montréal",Saint-Laurent,45.5208944,-73.6889195,Saint-Laurent
522,Patinoire du parc Dan-Hanganu (Elgar),"260, rue Elgar, Montréal",Verdun,45.4572081,-73.5468802,Verdun
523,Patinoire du parc Daniel-Johnson,"1500, boulevard du Tricentenaire, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6499733,-73.4927775,Rivière-des-Prairies-Pointe-aux-Trembles
524,Patinoire du parc de Bordeaux,"12141, rue Pasteur, Montréal",Ahuntsic-Cartierville,45.5424873,-73.7011838,Ahuntsic-Cartierville
525,Patinoire du parc De Gaspé,"6655, avenue De Gaspé, Montréal",Rosemont–La Petite-Patrie,45.5331983,-73.6092964,Rosemont-La Petite-Patrie
526,Patinoire du parc De La Bruère,"2200, rue Liébert, Montréal",Mercier–Hochelaga-Maisonneuve,45.5948536,-73.5197167,Mercier-Hochelaga-Maisonneuve
527,Patinoire du parc de la Cité-Jardin,"5222, boulevard Rosemont, Montréal",Rosemont–La Petite-Patrie,45.5721987,-73.563388,Rosemont-La Petite-Patrie
528,Patinoire du parc de la Fontaine,"570, place de la Fontaine, Montréal",Verdun,45.4631961,-73.5443182,Verdun
529,Patinoire du parc de la Louisiane,"4644, rue Beaubien Est, Montréal",Rosemont–La Petite-Patrie,45.5688992,-73.5740666,Rosemont-La Petite-Patrie
530,Patinoire du parc de la Petite-Italie,"6634, rue Clark, Montréal",Rosemont–La Petite-Patrie,45.53102151558441,-73.61228258051948,Rosemont-La Petite-Patrie
