Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Restaurant saveur antillaise,4714 Rue Alexander,H8Y 2B1,45.5039103,-73.7787404,61,3.8
La Belle Creole,4077 Rue de Castille,H1H 1X5,45.5913532,-73.63696,31,3.4
Marabou Créole,9880 Boul. Saint-Laurent,H3L 2N3,45.5467229,-73.6595463,191,4.3
LaVida Casse-Croûte Créole,785 Rue Jarry O,H3N 1G6,45.5301126,-73.6366268,77,4.4
FlyOff Restaurant,2525 Rue Provost,H8S 4A9,45.4417323,-73.6867817,16,4.4
Caribbean Paradise Restaurant Montreal,8080 Bd Newman,H8N 1X9,45.434363,-73.6272442,252,4.2
Lasalle Caribbean,408 Av. Lafleur,H8R 3H5,45.4326348,-73.6482424,105,4.3
ONESTOP CARIBBEAN CUISINE,334 Rue Saint-Jacques,H8R 1E2,45.4438547,-73.647522,118,4.5
Le Goût des îles,4968A Chem. Queen Mary,H3W 1X2,45.4859248,-73.6267335,38,4.3
LOURDIE GOURMANDISE,4457 Rue Beaubien E,H1T 1T3,45.5662858,-73.5767126,48,4.7
Grillades Haïtiennes,2489 Rue Jean-Talon E,H2E 1W3,45.5534813,-73.6023789,124,3.5
Goûter Tropical,12265 Bd Rolland,H1G 6A1,45.6180343,-73.6218409,26,3.4
EpicesKay Caribbean food nourriture,5570 Rue Jean-Talon E,H1S 1L9,45.5818925,-73.5803033,184,4.5
"L'Escale, cuisine créole",9271 Bd Saint-Michel,H1Z 3G7,45.5738185,-73.6315322,28,4.2
Kanasuk Cuisine Creole,5842 Bd Léger,H1G 1K6,45.6163496,-73.628885,54,4.2
Restaurant Trouvaille Créole,5158 Boul Henri-Bourassa E,H1G 2S6,45.603494,-73.6286954,54,4.7
Bistro King Creole,3667 Rue Hochelaga,H1W 1J2,45.5478581,-73.5509743,359,4.7
Le Cocotier BBQ & Grill,1300 Bd Saint-Jean-Baptiste Local 122,H1B 4A4,45.6409877,-73.501585,55,4.5
Mama Supermarché Antillais,4757 Rue de Charleroi,H1H 1V3,45.5967668,-73.6316821,52,3.9
Piklìz Comptoir Caribéen,4206 Rue Saint Jacques O,H4C 1J4,45.476984,-73.5872179,338,4.7
