Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Casa Grecque,4.1,45.574628,-73.548492,"5787 Sherbrooke St E, Montreal, Quebec H1N 3R5, Canada             5787 R. Sherbrooke E, Montréal, QC H1N 3R5",H1N 3R5,1347
Restaurant Zante,4.4,45.5014047,-73.5766767,"1112 Sherbrooke St W, Montreal, Quebec H3A 1G9, Canada             1112 Rue Sherbrooke O, Montréal, QC H3A 1G9",H3A 1G9,291
Souvlaki Bar Express - Rockland,2.5,45.5281968,-73.6481237,"2305 Rockland Rd suite 5600, Mount Royal, Quebec H3P 3E9, Canada",H3P 3E9,41
Kouzina Niata,4.9,45.5232065,-73.6014874,"221 Rue Saint- Viateur O, Montréal, QC H2T 2L6, Canada",H2T 2L6,98
Fameux Gyros Elatos,4.4,45.5315335,-73.6353374,"550 Jarry St W, Montreal, Quebec H3N 1G1, Canada             550 Rue Jarry O, Montréal, QC H3N 1G1",H3N 1G1,463
Nostos,4.4,45.534182,-73.6614761,"9530 Bd de l'Acadie, Montréal, QC H4N 1L8, Canada",H4N 1L8,1297
RODOS Restaurant & Taverna - Resto Grecque,4.4,45.5225792,-73.6026603,"5583 Park Ave, Montreal, Quebec H2V 4H2, Canada             5583 Av du Parc, Montréal, QC H2V 4H2",H2V 4H2,105
Terrasse Thanos / Thanos Terrace,4.8,45.518667,-73.591585,"250 Rue Villeneuve O, Montréal, QC H2V 2R1, Canada",H2V 2R1,195
Pita Bar,4.4,45.5528951,-73.5397241,"4315 Ontario St E, Montreal, Quebec H1V 1K5, Canada             4315 Rue Ontario E, Montréal, QC H1V 1K5",H1V 1K5,281
Petros Laurier,4.5,45.5204964,-73.5948103,"234 Av. Laurier O, Montréal, QC H2T 2N8, Canada",H2T 2N8,180
PITARIFIQUE,4.4,45.5177823,-73.581721,"4160 St Laurent Blvd, Montreal, Quebec H2W 1Y8, Canada             4160 Boul. Saint-Laurent, Montréal, QC H2W 1Y8",H2W 1Y8,529
Resto Molyvos Previously Lezvos (Mediterranean Cuisine),4.1,45.4790945,-73.6190609,"4235 A Decarie Blvd, Montreal, Quebec H4A 3K4, Canada             4235 A Bd Décarie, Montréal, QC H4A 3K4",H4A 3K4,27
Arahova Souvlaki,3.9,45.5226294,-73.6016414,"256 Rue Saint- Viateur O, Montréal, QC H2V 1X9, Canada",H2V 1X9,777
Estiatorio Milos – Montreal,4.6,45.5217363,-73.6004138,"5357 Park Ave, Montreal, Quebec H2V 4G9, Canada             5357 Av du Parc, Montréal, QC H2V 4G9",H2V 4G9,1331
Usine Grecque Le Village,4,45.5228704,-73.5615001,"1345 Ontario St E, Montreal, Quebec H2L 1R8, Canada             1345 Rue Ontario E, Montréal, QC H2L 1R8",H2L 1R8,177
Ouzeri,4.4,45.525,-73.5855557,"4690 Saint Denis St, Montreal, Quebec H2J 2L3, Canada             4690 R. Saint-Denis, Montréal, QC H2J 2L3",H2J 2L3,729
Souvlaki Bar - Saint-Léonard,4.3,45.5951314,-73.572067,"6830 Rue Jean-Talon E, Montréal, QC H1S 1N2, Canada",H1S 1N2,468
Casa Grecque,3.9,45.515872,-73.570836,"200 Rue Prince-Arthur E, Montréal, QC H2X 1B9, Canada",H2X 1B9,898
Le Jardin Des Puits,4.4,45.5730179,-73.6498296,"2237 Rue Fleury E, Montreal, Quebec H2B 1K5, Canada",H2B 1K5,240
Le Jardin de Panos,4.2,45.522098,-73.5747521,"521 Duluth Ave E, Montreal, Quebec H2L 1A8, Canada             521 Av. Duluth E, Montréal, QC H2L 1A8",H2L 1A8,1612
