Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
La Tamalera,226 Av. Fairmount O,H2T 2M7,45.5212417,-73.5967417,384,4.4
Cinco de mayo - Cuisine Mexicaine,4412 Notre-Dame St W,H4C 1S1,45.4745899,-73.5869695,166,4.6
Le Roi Du Taco,232 Rue Jean-Talon E,H2R 1S7,45.536443,-73.6159898,137,4.4
Restaurant Amaranto,5974 Av de Monkland,H4A 1H1,45.4713977,-73.6263939,270,4.4
Mucho Burrito,3830 Boulevard Cote Vertu Ouest #120,H4R 1P8,45.492211,-73.7084411,662,4.2
Mucho Burrito Grillades Mexicaines Fraîches,1029 Rue du Marché Central,H4N 1J8,45.5344454,-73.6593791,571,4
IMPAC TACO - Resto Mexicain - Tacos - Churros - Takeout,7091 Rue St-Hubert,H2S 2N1,45.54047,-73.612261,104,4.5
Escondite Vieux Port,12 Rue Saint-Paul O,H2Y 1Y7,45.505375,-73.553839,963,4.3
Mr Taco,8521 Boulevard Saint-Michel,,45.5501074,-73.6365724,0,
La toxica St-Hubert,6794 Rue St-Hubert,H2S 2M6,45.538212,-73.6080858,82,3.8
La Guadalupe Mexicaine,2345 Rue Ontario E,H2K 1W2,45.5309919,-73.5547279,440,4.1
Marché Andes Comptoir Gourmet - Latin American Specialties,440 Rue Bélanger,H2S 1G2,45.5377381,-73.6112127,133,4.5
Quesada Burritos & Tacos,1001 Blvd Robert-Bourassa,H3B 0A7,45.5010233,-73.564439,86,3.9
Quesada Burritos & Tacos,4011 Maisonneuve Blvd W,H3Z 3G4,45.4890206,-73.5878541,4,4
Mojito & Margarita,3127 Rue Masson,H1Y 1X9,45.5495833,-73.574164,418,4.8
Que Taco Con Queso,9186 25e Ave,H1Z 4C9,45.5820308,-73.6208013,0,
Chilanga Taqueria,1371 Rue Sainte-Catherine E,H2L 2H7,45.5202886,-73.5546575,73,4.5
Camion A Tacos Grumman,"Le Faubourg Sainte Catherine, 1616 Saint-Catherine St W",H3H 1L7,45.493982,-73.5787514,0,
IMPAC TACO - Tacos - Resto Mexicain - Churros - Traiteur/Catering,6245 Boul Métropolitain E,H1P 1X7,45.5919922,-73.5814926,415,4.5
Caifan,67 Rue Beaubien E,H2S 1R1,45.5312235,-73.6077996,404,4.8
Mancora y Papichulo Resto-Bar Peruvien - Mexicain,3388 Rue Jean-Talon E,H2A 1W8,45.5604053,-73.5967523,83,4.2
Restaurant La Estacion,895 Rue De La Gauchetière O,H3B 4G1,45.500112,-73.566522,22,3
DELI ESQUITES - Antojitos Mexicanos / Mexican Street Food - Comida Mexicana,7093 Rue St-Hubert,H2S 2N1,45.5404373,-73.612246,25,4.2
Restaurant Mañana,3863 R. Saint-Denis,H2W 2M4,45.5198887,-73.5734647,0,
Restaurant La Catrina - Vieux-Port,119 R. de la Commune O,H2Y 2C7,45.50382,-73.5539833,603,4.1
Birriería Tin Tan,3506 Notre-Dame St W,H4C 1P2,45.4802568,-73.5795542,0,
Impac Taco,Réso Montréal Souterrain,H3A 1P2,45.5007874,-73.5733738,12,4.4
Mesón,345 Rue Villeray,H2R 1G8,45.5399655,-73.623644,788,4.5
Lakalaka,4110 R. Saint-Denis,H2W 2M5,45.521039,-73.5768942,111,4.4
Noupotle,223 Rue Guy,H3G 1M8,45.4970327,-73.5791637,0,
Restaurant Don juan,300 Av. Duluth E,H2W 1H9,45.519755,-73.5766315,124,3.9
Xolo Café Resto,7297 14e Avenue,H2A 2V9,45.5620883,-73.5974976,79,4.5
Chez Momo,1660 Rue Everett,H2E 1N6,45.5489708,-73.6107652,9,3.9
BONITA’S TACO & DELI,30 Sainte-Catherine O,H2X 3V4,45.5096043,-73.5639071,23,4.1
Tacos Victor Crescent,2145 Crescent St Unit #1,H3G 2C1,45.4986102,-73.57835,67,4.6
Restaurant Lost Tios,1465 Rue Crescent,H3G 2B2,45.4980542,-73.5770671,0,
La Chalupa Resto-Montreal,1121 Rue Bélanger,H2S 1H6,45.5414489,-73.60818,52,4.7
Taco Signature,2111 Avenue du Mont-Royal E,H2H 1J9,45.5354224,-73.572417,158,4.6
Taco Tijuana,5889 Rue Sherbrooke O,H4A 1X6,45.4690603,-73.6191019,503,4.3
Quesada Burritos & Tacos,335 Rue Sainte-Catherine E,H2X 3X2,45.5133846,-73.5611164,302,4.2
El Habanero Mexican Grill,977 Sainte-Catherine O,H3B 4W3,45.50111,-73.572243,65,4.2
3 Amigos (Palais des congrès),301 Rue Saint-Antoine O,H2Z 2A7,45.5035078,-73.5605575,785,3.5
Don Taco,1853 Sainte-Catherine O,H3H 1M2,45.4931771,-73.5802808,527,3.8
PLACE JUAREZ - Tacos / Resto Mexicain - Latin Market / Food Court,7093 Rue St-Hubert,H2S 2N1,45.5404373,-73.612246,108,4.4
Tacos Tin Tan,3828 R. Saint-Denis,H2W 2M2,45.5193737,-73.5732574,788,4.5
