Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Subway,3.7,45.4651155,-73.7870209,1856-1866 Sources Blvd Suite A & B,H9R 5B1,128
Subway,4.2,45.4621279,-73.8190026,"183-A2, Boul Hymus",H9R 1E9,171
La Prep,4.2,45.4060089,-74.0425166,"Méga-Centre, 3206 Bd de la Gare",J7V 8W5,145
Subway,3.5,45.4174585,-73.9186058,90 Rue Morgan Unit A01012a,H9X 3A8,68
Tanoura Restaurant,4.2,45.4800119,-73.8425552,4230 Boul. Saint-Jean,H9H 3X4,145
Burger Fiancé,4.9,45.4879534,-73.7998884,3627 Sources Blvd,H9B 2K4,124
Subway,3.2,47.7310334,-122.1733598,12523 NE 144th St,98034,78
Subway,3.4,47.677136,-122.2036944,255 Central Way,98033,82
Jersey Mike's Subs,4.2,47.705396,-122.210955,11631 98th Ave NE,98034,230
Subway,4.4,47.7047589,-122.176421,11613 124th Ave NE Suite G,98034,104
Freshii - Woodinville,3.9,47.7550381,-122.1504475,14184 NE Woodinville Duvall Rd,98072,78
Sarducci's Specialty Subs,4.4,47.6671909,-122.1969079,955 6th St South,98033,253
M Fitness,3.9,45.4914394,-73.6499707,6900 Bd Décarie #200,H3X 2T8,101
Rachelle-Bery health stores,4,45.521505,-73.589687,4810 St Laurent Blvd,H2T 1R5,230
GreenSoul Organics,4.3,-38.0470068,145.3686429,Shop 2/46-50 Old Princes Highway,3807,64
Subway,3.9,-38.0449715,145.3681788,"Shop 4, 55 Old Princes Highway Beaconsfield Shopping Plaza",3807,60
Mr Black Juicery,4.6,-38.0301024,145.3463789,1 Blackburne Square,3806,373
Hello 123,4.4,43.6433736,-79.4234717,1122 Queen St W,M6J 1H9,1038
Revital Beaconsfield,2.7,51.610056,-0.644998,"12 The Highway, Station Rd",HP9 1QQ,15
Subway,3.3,51.6103373,-0.6446796,192 Maxwell Rd,HP9 1QU,60
Dagwoods La Sandwicherie,4.3,45.432242,-73.849011,50 Saint-Charles Blvd,H9W 2X3,159
M.T.L. Bagel,4.7,45.4584742,-73.6608543,5452 Av. Westminster,H4X 2A5,411
Just Poke Kirkland,4.5,47.6754268,-122.2056055,117 Kirkland Ave #117,98033,450
Emerald City Smoothie (Inside LA Fitness),4.9,47.708763,-122.1798014,12321 120th Pl NE,98034,11
Cafe 128,4,47.7156761,-122.1794845,12040 NE 128th St,98034,44
Pressed,2.6,47.7124163,-122.1794638,12540 120th Ave NE Suite 112,98034,32
Homegrown,4.4,47.6753015,-122.2062447,104 Lake St,98033,387
Plantiful Superfoods,4.6,47.6778913,-122.1993063,425 Urban Plz #245,98033,185
Cafe Organique,4.4,47.7055792,-122.2101886,11656 98th Ave NE,98034,50
Kel’salad,,14.4689962,-60.9219407,10 rue joliot curie,97228,0
