Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
La Petite Marche,4.1,45.5267457,-73.5886482,5035 Saint Denis St,H2J 2L9,1227
ACROPOLIS PIZZA - Resto Grec / Italien,3.6,45.5940501,-73.5499639,7291 Av. de la Malicorne,H1M 1H2,424
Aux Iles Bleues,4.4,45.5233028,-73.5733833,900 Duluth Ave E,H2L 1B6,271
Le Square,4.2,45.515444,-73.5710385,162 Rue Prince-Arthur E,H2X 1B7,368
Fameux Viande Fumée Et Charcuterie,3.8,45.523861,-73.583154,4500 Saint Denis St,H2J 2L3,755
La Prunelle,4.1,45.5201265,-73.5766065,327 Av. Duluth E,H2W 1J1,626
Bistro Tôt ou Tard,4.5,45.5215834,-73.5664997,1030 Rue Cherrier,H2L 1H7,1543
Pizzeria Zac Végane | Vegan Pizza,4.8,45.5171696,-73.5790995,8 Duluth Ave E,H2W 1G6,175
Chez Victoire,4.5,45.5310956,-73.5765248,1453 Mont-Royal Ave E,H2J 1Z1,822
Restaurant Salonica,3.1,45.5280837,-73.5915598,5261 Saint Denis St,H2J 2L8,279
Casa Del Popolo,4.4,45.5221793,-73.5905247,4873 St Laurent Blvd,H2T 1R6,700
Restaurant coréen Luna/Korean Restaurant Luna- Apportez votre vin/ Bring your own wine,4.7,45.5246069,-73.575802,"CA, 917 Rue Rachel E",H2J 2J2,598
Restaurant Pizzeria Hochelaga,4.1,45.5593846,-73.5441493,4743 Rue Hochelaga,H1V 1E2,350
Café San Gennaro,4.7,45.5328169,-73.6112888,69 Rue Saint-Zotique E,H2S 1K7,954
Mirazu,4.4,45.5241379,-73.5948184,5215 St Laurent Blvd,H2T 1S4,560
Cafe Gentile Chabanel,4.5,45.5383638,-73.6544177,9299 Park Ave,H2N 2A2,1033
Diane Deli & Grill Restaurant,3.9,45.6262305,-73.5019901,10941 Notre-Dame St. East,H1B 2V1,356
Place Tevere,3.1,45.5916674,-73.5414882,7275 Sherbrooke St E,H1M 2S5,19
Lucca,4.8,45.5328814,-73.6135204,12 Rue Dante,H2S 1J5,427
Pizzeria Cortina,4.2,45.638789,-73.579428,8660 Bd Maurice-Duplessis,H1E 3L1,233
Brama - Usine à bouffe,4.9,45.5449878,-73.6603738,9850 Rue Saint-Urbain Local 101,H3L 2T2,152
La Grotte des Fromages,4.6,45.5799298,-73.5960971,4919 Rue Jarry E,H1R 1Y1,218
Industria Pizzeria + Bar,4.1,45.600662,-73.564402,"Les Galeries d'Anjou, 7999 Bd des Galeries d'Anjou",H1M 1W9,776
Pizza Campanello,4.8,45.5442995,-73.6284835,587 Rue Jarry E,H2P 1V6,228
Art Kebab,4,45.5708535,-73.5873908,4528 Rue Jean-Talon E,H1S 1K2,135
Resto Chez Tony,4.6,45.5851273,-73.570944,6083 Rue Bélanger,H1T 3T4,14
Restaurant La Veranda pizzeria,4.4,45.6097417,-73.6114449,6363 Boul Henri-Bourassa E,H1G 2V5,172
Broadway Pizzeria,3.5,45.6037786,-73.5310839,8655 Sherbrooke St E,H1L 1B8,471
Le Filet,4.7,45.5180412,-73.588493,219 Mont-Royal Ave W,H2T 2T2,583
La Sirene de la Mer,4.4,45.5161111,-73.6302778,114 Av. Dresden,H3P 2B6,1028
Napoli Pizzeria,3.7,45.51536,-73.563689,1675 Saint Denis St,H2X 3K4,661
Bistro 360,4.3,45.5428223,-73.5463611,3353 Ontario St E,H1W 1P8,299
Pizza Momo,4,45.5102706,-73.5706511,173 Sherbrooke St W,H2X 1X4,461
India Rosa,4.5,45.5292766,-73.5782363,1241 Mont-Royal Ave E,H2J 1Y2,1860
Pizza Nino,4.3,45.453026,-73.5937942,6588 Bd Monk,H4E 3J1,547
Café Bistro Roccella,4.8,45.5332378,-73.5838209,1322 Laurier Ave E,H2J 1H3,19
Villa Armando,4.5,45.5089704,-73.6606522,3201 Graham Blvd,H3R 1K1,222
L'Avenue,4.6,45.526695,-73.580273,922 Mont-Royal Ave E,H2J 1X1,3661
Atlas Pizza,4,45.5233625,-73.5736532,4051 St Andre St,H2L 3W4,383
Pizza Toni,4.5,45.5244075,-73.6000101,104 Rue Saint- Viateur O,H2T 2L1,502
Bis Ristorante,4.4,45.4977498,-73.574221,1229 Rue de la Montagne,H3G 1Z2,513
Vincent Sous-Marins Montréal-Nord,4,45.5951138,-73.6436114,4031 Boul Henri-Bourassa E,H1H 1L2,430
Philinos Restaurant,4.4,45.5181835,-73.5929208,4806 Park Ave,H2V 4E7,414
HÀ Mont-Royal,4.3,45.51775,-73.5888222,243 Mont-Royal Ave W,H2T 2T2,638
La Binerie Mont-Royal,4.5,45.5217603,-73.5776943,4167 Saint Denis St,H2W 2M7,784
Roseline - Bar à Vin,4.4,45.5224649,-73.591968,5014 St Laurent Blvd,H2T 1R7,148
Restaurant Pho Mont Royal,4,45.5311406,-73.5764545,1459 Mont-Royal Ave E,H2J 1Y9,410
Pizzeria Dei Compari,4.5,45.5149925,-73.5637476,1668 Saint Denis St,H2X 3K4,2034
Le Richmond,4.1,45.488753,-73.56675,377 Ave Richmond,H3J 1T9,945
Bacaro Pizzeria - Monkland,3.9,45.4716464,-73.6262112,5950 Monkland Ave,H4A 1G8,536
Café Milano Montréal,4.5,45.582135,-73.592961,5188 Rue Jarry E,H1R 1Y4,2330
Marconi Pizzeria,4.3,45.5465764,-73.5935009,2222 Rue Beaubien E,H2G 1M7,983
Impasto,4.3,45.5331078,-73.613192,48 Rue Dante,H2S 1J6,561
Beniamino Traiteur & Restaurant,4.7,45.596404,-73.585521,8279 Boul Langelier,H1P 2B7,157
Restaurant Corneli,4.4,45.532248,-73.612363,6741 St Laurent Blvd,H2S 3C7,2037
Restaurant L'Académie,3.8,45.597257,-73.561709,7275 Bd des Galeries d'Anjou,H1M 2W2,1556
"Pizzéria NO.900 - Fleury, Montréal",4.1,45.558075,-73.659359,1021 Rue Fleury E,H2C 1P8,687
Pizzeria Geppetto Beaubien,4.3,45.5491018,-73.5912942,2510 Rue Beaubien E,H1Y 1G2,576
Surprise Pizza,4,45.5955598,-73.5347437,7868 Sherbrooke St E,H1L 1A5,184
Cafe Danesi,4.5,45.6233899,-73.6019298,7244 Bd Maurice-Duplessis,H1E 4A7,167
Restaurant Vesta,4.3,45.5408712,-73.6299498,206 Rue Jarry E,H2P 1T5,366
Da Lillo,4.3,45.544635,-73.6281821,615 Rue Jarry E,H2P 1V8,749
Du Boucher a la Table,4.5,45.5799298,-73.5960971,4919 Rue Jarry E,H1R 1Y1,715
Bagatelle Bistro Apportez votre vin,4.5,45.5529052,-73.539774,4323 Ontario St E,H1V 1K5,962
L’Entrepôt Mont-Royal,4.1,45.5276358,-73.5797401,1019 Mont-Royal Ave E,H2J 1X7,2992
Stella pizzeria,4.7,45.5410421,-73.6081784,1100 Rue Bélanger,H2S 2H3,78
Tuscolo,4.2,45.4976891,-73.5772199,1466 Crescent St,H3G 2B7,233
Casa Grecque,3.9,45.515872,-73.570836,200 Rue Prince-Arthur E,H2X 1B9,896
Restaurant La Raclette,4.4,45.5295646,-73.5828915,1059 Rue Gilford,H2J 1P7,581
Comptoir 400 (Mile End),4.7,45.5214498,-73.6000991,5329 Park Ave,H2V 4G9,243
Restaurant La Popessa,4,45.5055392,-73.5586762,115 Rue Saint-Antoine O,H2Z 1K4,208
Osteria Gallo,4.8,45.5454577,-73.6244166,7950 Rue St-Hubert,H2R 2P3,146
Pasta Casareccia,4.4,45.4695396,-73.6182876,5849 Sherbrooke St W,H4A 1X4,511
Slice + Soda,4.1,45.5249651,-73.5995243,56 Rue Saint- Viateur O,H2T 2K8,175
Moleskine,4.4,45.5083794,-73.5716646,3412 Park Ave,H2X 2H5,672
Restaurant Mont-Royal Hot Dog,3.8,45.5275137,-73.5798293,1001 Mont-Royal Ave E,H2J 1X7,762
Pizza Mega,4,45.5334826,-73.5739079,1856 Mont-Royal Ave E,H2H 1J1,188
Bacaro Pizzeria Express - Rockland,3.6,45.5281968,-73.6481237,2305 Rockland Rd local 5614,H3P 3E9,59
Resto Capucine,4.4,45.619387,-73.6095141,7000 Bd Maurice-Duplessis,H1G 0A1,90
PIZZA MOTTA,4.3,45.536249,-73.6133589,303 Av. Mozart E,H2S 2V8,857
Le Muscadin,4.8,45.5074838,-73.5538224,443 R. Saint-Vincent,H2Y 3A6,259
Pizzéria NO.900,4.4,45.5344502,-73.5831626,1481 Laurier Ave E,H2J 1H8,626
Trattoria La Villetta,4.3,45.5123447,-73.6932531,1898 Boulevard Thimens,H4R 2K2,189
Mucca,4.8,45.5338047,-73.6098032,236 Rue Saint-Zotique E,H2S 1L1,167
Antonietta,4.7,45.5444548,-73.5997081,6672 Av. Papineau,H2G 2X2,211
Il Bazzali,4.5,45.532834,-73.606244,285 Rue Beaubien E,H2S 1R7,634
Hollywood Pizzeria,4.2,45.6295892,-73.5867298,8011 Av. Blaise-Pascal,H1E 3X7,251
Bacaro Pizzeria - St-Léonard,4.3,45.5949813,-73.5719869,6820 Rue Jean-Talon E,H1S 0A5,266
Restaurant Paolino,4.7,45.5413758,-73.6369352,8497 Saint Dominique St.,H2P 2L4,99
Restaurant Fresco,4.3,45.6012356,-73.6094962,"1A2, 6040 Bd des Grandes-Prairies",H1P 1A2,262
Elvita Italian Fusion Cuisine,4.7,45.5484703,-73.5748761,2931 Rue Masson,H1Y 1X5,221
Chez Dany Pizza,3.9,45.5227246,-73.5806002,4348 Saint Denis St,H2J 2K8,286
Da Bologna Pizzeria,4.5,45.6004131,-73.6248203,5185 Rue de Charleroi,H1G 3A2,614
Restaurant La Molisana,3.8,45.557943,-73.6591053,1014 Rue Fleury E,H2C 1P7,427
Slice + Soda,4,45.5159852,-73.5766241,3845 St Laurent Blvd,H2W 1X6,113
Restaurant le Colbert,4.3,45.5437425,-73.6110972,1235 Rue Jean-Talon E,H2R 1W1,390
Pizza Tifosi Rachel,4,45.533032,-73.5673489,2113 Rue Rachel E,H2H 1R1,949
La Medusa,4,45.4979333,-73.5731121,1218 Drummond St,H3G 1V7,426
Graffiti's Restaurant-Bar,2.4,45.5988121,-73.572716,8100 Av. de Neuville,H1J 2T2,9
Restaurant Sandhu,3.9,45.5331631,-73.5755876,4548 Av. Papineau,H2H 1V3,712
Pasta Express,4.2,45.5627225,-73.6566164,1501 Rue Fleury E,H2C 1S5,539
Pizza St-Viateur,4.3,45.5269457,-73.6027105,27 Rue Bernard O,H2T 2J6,551
La Marinara,4.2,45.4986232,-73.5722892,1218 Stanley St,H3B 2S7,245
Pasta E Pasta,4,45.5202208,-73.5965652,5145 Park Ave,H2V 4G3,23
Restaurant Moccione,4.9,45.540075,-73.6199398,7495 Saint Denis St,H2R 2E5,426
Restaurant Le Saint-Jacques,4.8,45.57812,-73.5499647,6001 Rue de Jumonville,H1M 1R5,308
Royal Sous-Marins,4,45.5270426,-73.6022612,10 Rue Bernard O,H2T 2J7,139
Barcola Bistro Audio - Audio Foodies - Italian Restaurant - Tasting Menu,4.6,45.5227766,-73.602948,5607 Park Ave,H2V 4H2,176
Pizzeria Magpie Mile End,4.4,45.5246946,-73.5955078,16 Maguire St,H2T 1B8,826
Restaurant Vincent,4,45.5927414,-73.5921482,6005 Bd Robert,H1P 1M9,320
Le Restaurant New Milano,4.1,45.5815544,-73.539505,6625 Rue de Marseille,H1N 1M1,308
Tiramisu,4,45.5078904,-73.559039,989 St Laurent Blvd,H2Z 1J4,454
Sorino (Apportez votre vin - BYOW),4.5,45.5210878,-73.575721,411 Av. Duluth E,H2W 2M7,133
Diabolissimo,4.8,45.5293644,-73.5776784,1256 Mont-Royal Ave E,H2J 1Y3,127
Eduardo Duluth,4,45.5209817,-73.5755734,404 Duluth Ave E,H2L 1A3,613
Stella Pizzeria,4.4,45.533423,-73.584177,1327 Laurier Ave E,H2J 1H4,692
Bacaro Pizzeria - Lucerne,4.3,45.5058862,-73.6614613,2358 Lucerne Rd,H3R 2J8,296
La Panzeria Café - Panzerotti - Cuisine,4.8,45.5208609,-73.5766261,4084 Saint Denis St,H2W 2M5,331
Le Pontiac,4.3,45.5254096,-73.5819774,701 Mont-Royal Ave E,H2J 1W7,315
Pizzédélic Mont-Royal,4.2,45.529351,-73.5777851,1250 Mont-Royal Ave E,H2J 1Y3,863
Mammina Pizzeria,4.4,45.6052192,-73.6356005,4972 Bd Léger,H1G 1J6,290
Alto Restaurant,4.4,45.5092624,-73.5727453,3469 Park Ave,H2X 2H6,800
