Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Souvlaki Bar Express - Gare Centrale,895 Rue De La Gauchetière O,H3B 2M9,45.4998631,-73.5678045,46,4
Phyllo Bar Melina's,5733 Av du Parc,H2V 4H2,45.523773,-73.605013,191,4.8
Ilion,1539 Av. Van Horne,H2V 1L4,45.5186681,-73.6168149,58,4.8
Monkland Grill,6447 Av. Somerled,H4V 1S4,45.4686209,-73.6378475,310,3.9
JARDIN PETROS - Little Italy,6896 Rue Saint-Dominique,H2S 3B2,45.5335711,-73.6141504,76,4.3
Petros Taverne Grecque (Lachine),600 Bd Saint-Joseph,H8S 2M1,45.4317267,-73.6695137,33,3.7
Resto grec,219 Rue Saint- Viateur O,H2T 2L6,45.5232273,-73.6014646,0,
Petros Laurier,234 Av. Laurier O,H2T 2N8,45.5204964,-73.5948103,178,4.5
Souvlaki Bar - Saint-Léonard,6830 Rue Jean-Talon E,H1S 1N2,45.5951314,-73.572067,464,4.3
Souvlaki Authentique Ville-Marie,2550 Rue de Rouen,H2K 1M6,45.5344258,-73.5557007,124,4.5
Casa Grecque,10651 Bd Pie-IX,H1H 4A3,45.589546,-73.633711,757,4
Estiatorio Kavos,7657 Bd Décarie,H4P 2H2,45.4972202,-73.6549141,122,4.7
Thanos Kitchen,1075 Rue Mistral,H2P 1S2,45.5489003,-73.6276416,13,4.5
Arahova Souvlaki Lasalle,8051 Bd Newman,H8N 2N9,45.4353883,-73.6273479,335,3.2
Restaurant Syros,11810 Bd Langelier,H1G 3M3,45.6166457,-73.6148304,77,4.7
Deli Paulos,3365 Av. de Granby,H1N 2Z7,45.5816667,-73.5416667,454,3.9
Souvlaki Bar Express (Complexe Desjardins),1250 Rue Saint-Urbain,H2B 3B2,45.5079242,-73.5635918,40,4.5
Souvlaki Bar - Verdun,3966 Rue Wellington,H4G 1V3,45.4641705,-73.566621,173,4.1
Terrasse Thanos / Thanos Terrace,250 Rue Villeneuve O,H2V 2R1,45.518667,-73.591585,190,4.8
VILLAGE GREC SOUVLAKI - Resto Grec - Gyros Salads Poutine Steak - Delivery Livraison Takeout,654 Rue Jean-Talon O,H3N 1R7,45.527442,-73.623675,756,4.1
